id|entrez_gene_id|hugo_symbol
1|1|A1BG
2|2|A2M
3|3|A2MP1
4|9|NAT1
5|10|NAT2
6|11|NATP
7|12|SERPINA3
8|13|AADAC
9|14|AAMP
10|15|AANAT
11|16|AARS1
12|17|AAVS1
13|18|ABAT
14|19|ABCA1
15|20|ABCA2
16|21|ABCA3
17|22|ABCB7
18|23|ABCF1
19|24|ABCA4
20|25|ABL1
21|26|AOC1
22|27|ABL2
23|28|ABO
24|29|ABR
25|30|ACAA1
26|31|ACACA
27|32|ACACB
28|33|ACADL
29|34|ACADM
30|35|ACADS
31|36|ACADSB
32|37|ACADVL
33|38|ACAT1
34|39|ACAT2
35|40|ASIC2
36|41|ASIC1
37|43|ACHE
38|47|ACLY
39|48|ACO1
40|49|ACR
41|50|ACO2
42|51|ACOX1
43|52|ACP1
44|53|ACP2
45|54|ACP5
46|55|ACP3
47|56|ACRV1
48|58|ACTA1
49|59|ACTA2
50|60|ACTB
51|62|ACTBP2
52|63|ACTBP3
53|64|ACTBP4
54|66|ACTBP6
55|67|ACTBP7
56|68|ACTBP8
57|69|ACTBP9
58|70|ACTC1
59|71|ACTG1
60|72|ACTG2
61|73|ACTG1P1
62|74|ACTG1P2
63|75|ACTG1P3
64|78|ACTG1P6
65|79|ACTG1P7
66|80|ACTG1P8
67|81|ACTN4
68|82|ACTG1P9
69|83|ACTG1P10
70|86|ACTL6A
71|87|ACTN1
72|88|ACTN2
73|89|ACTN3
74|90|ACVR1
75|91|ACVR1B
76|92|ACVR2A
77|93|ACVR2B
78|94|ACVRL1
79|95|ACY1
80|97|ACYP1
81|98|ACYP2
82|100|ADA
83|101|ADAM8
84|102|ADAM10
85|103|ADAR
86|104|ADARB1
87|105|ADARB2
88|106|ADCP1
89|107|ADCY1
90|108|ADCY2
91|109|ADCY3
92|111|ADCY5
93|112|ADCY6
94|113|ADCY7
95|114|ADCY8
96|115|ADCY9
97|116|ADCYAP1
98|117|ADCYAP1R1
99|118|ADD1
100|119|ADD2
101|120|ADD3
102|123|PLIN2
103|124|ADH1A
104|125|ADH1B
105|126|ADH1C
106|127|ADH4
107|128|ADH5
108|130|ADH6
109|131|ADH7
110|132|ADK
111|133|ADM
112|134|ADORA1
113|135|ADORA2A
114|136|ADORA2B
115|137|ADORA2BP1
116|140|ADORA3
117|141|ADPRH
118|142|PARP1
119|143|PARP4
120|144|PARP1P1
121|145|PARP1P2
122|146|ADRA1D
123|147|ADRA1B
124|148|ADRA1A
125|150|ADRA2A
126|151|ADRA2B
127|152|ADRA2C
128|153|ADRB1
129|154|ADRB2
130|155|ADRB3
131|156|GRK2
132|157|GRK3
133|158|ADSL
134|159|ADSS2
135|160|AP2A1
136|161|AP2A2
137|162|AP1B1
138|163|AP2B1
139|164|AP1G1
140|165|AEBP1
141|166|TLE5
142|167|CRISP1
143|172|AFG3L1P
144|173|AFM
145|174|AFP
146|175|AGA
147|176|ACAN
148|177|AGER
149|178|AGL
150|181|AGRP
151|182|JAG1
152|183|AGT
153|185|AGTR1
154|186|AGTR2
155|187|APLNR
156|189|AGXT
157|190|NR0B1
158|191|AHCY
159|196|AHR
160|197|AHSG
161|199|AIF1
162|202|CRYBG1
163|203|AK1
164|204|AK2
165|205|AK4
166|206|AK4P1
167|207|AKT1
168|208|AKT2
169|210|ALAD
170|211|ALAS1
171|212|ALAS2
172|213|ALB
173|214|ALCAM
174|215|ABCD1
175|216|ALDH1A1
176|217|ALDH2
177|218|ALDH3A1
178|219|ALDH1B1
179|220|ALDH1A3
180|221|ALDH3B1
181|222|ALDH3B2
182|223|ALDH9A1
183|224|ALDH3A2
184|225|ABCD2
185|226|ALDOA
186|228|ALDOAP2
187|229|ALDOB
188|230|ALDOC
189|231|AKR1B1
190|236|AKR1B1P2
191|238|ALK
192|239|ALOX12
193|240|ALOX5
194|241|ALOX5AP
195|242|ALOX12B
196|243|ALOX12P1
197|245|ALOX12P2
198|246|ALOX15
199|247|ALOX15B
200|248|ALPI
201|249|ALPL
202|250|ALPP
203|251|ALPG
204|257|ALX3
205|258|AMBN
206|259|AMBP
207|262|AMD1
208|263|AMD1P2
209|265|AMELX
210|266|AMELY
211|267|AMFR
212|268|AMH
213|269|AMHR2
214|270|AMPD1
215|271|AMPD2
216|272|AMPD3
217|273|AMPH
218|274|BIN1
219|275|AMT
220|276|AMY1A
221|277|AMY1B
222|278|AMY1C
223|279|AMY2A
224|280|AMY2B
225|281|AMYP1
226|282|ANCR
227|283|ANG
228|284|ANGPT1
229|285|ANGPT2
230|286|ANK1
231|287|ANK2
232|288|ANK3
233|290|ANPEP
234|291|SLC25A4
235|292|SLC25A5
236|293|SLC25A6
237|301|ANXA1
238|302|ANXA2
239|303|ANXA2P1
240|304|ANXA2P2
241|305|ANXA2P3
242|306|ANXA3
243|307|ANXA4
244|308|ANXA5
245|309|ANXA6
246|310|ANXA7
247|311|ANXA11
248|312|ANXA13
249|313|AOAH
250|314|AOC2
251|316|AOX1
252|317|APAF1
253|318|NUDT2
254|319|APOF
255|320|APBA1
256|321|APBA2
257|322|APBB1
258|323|APBB2
259|324|APC
260|325|APCS
261|326|AIRE
262|327|APEH
263|328|APEX1
264|329|BIRC2
265|330|BIRC3
266|331|XIAP
267|332|BIRC5
268|333|APLP1
269|334|APLP2
270|335|APOA1
271|336|APOA2
272|337|APOA4
273|338|APOB
274|339|APOBEC1
275|341|APOC1
276|342|APOC1P1
277|343|AQP8
278|344|APOC2
279|345|APOC3
280|346|APOC4
281|347|APOD
282|348|APOE
283|350|APOH
284|351|APP
285|353|APRT
286|354|KLK3
287|355|FAS
288|356|FASLG
289|357|SHROOM2
290|358|AQP1
291|359|AQP2
292|360|AQP3
293|361|AQP4
294|362|AQP5
295|363|AQP6
296|364|AQP7
297|366|AQP9
298|367|AR
299|368|ABCC6
300|369|ARAF
301|372|ARCN1
302|373|TRIM23
303|374|AREG
304|375|ARF1
305|377|ARF3
306|378|ARF4
307|379|ARL4D
308|380|ARF4P1
309|381|ARF5
310|382|ARF6
311|383|ARG1
312|384|ARG2
313|387|RHOA
314|388|RHOB
315|389|RHOC
316|390|RND3
317|391|RHOG
318|392|ARHGAP1
319|393|ARHGAP4
320|394|ARHGAP5
321|395|ARHGAP6
322|396|ARHGDIA
323|397|ARHGDIB
324|398|ARHGDIG
325|399|RHOH
326|400|ARL1
327|401|PHOX2A
328|402|ARL2
329|403|ARL3
330|405|ARNT
331|406|BMAL1
332|407|ARR3
333|408|ARRB1
334|409|ARRB2
335|410|ARSA
336|411|ARSB
337|412|STS
338|413|ARSC2
339|414|ARSD
340|415|ARSL
341|416|ARSF
342|417|ART1
343|418|ART2P
344|419|ART3
345|420|ART4
346|421|ARVCF
347|427|ASAH1
348|429|ASCL1
349|430|ASCL2
350|432|ASGR1
351|433|ASGR2
352|434|ASIP
353|435|ASL
354|436|ASLP1
355|438|ASMT
356|439|GET3
357|440|ASNS
358|442|ASNSP2
359|443|ASPA
360|444|ASPH
361|445|ASS1
362|447|ASS1P2
363|449|ASS1P4
364|450|ASS1P5
365|451|ASS1P6
366|453|ASS1P8
367|454|ASS1P9
368|455|ASS1P10
369|459|ASS1P14
370|460|ASTN1
371|462|SERPINC1
372|463|ZFHX3
373|466|ATF1
374|467|ATF3
375|468|ATF4
376|469|ATF4P1
377|471|ATIC
378|472|ATM
379|473|RERE
380|474|ATOH1
381|475|ATOX1
382|476|ATP1A1
383|477|ATP1A2
384|478|ATP1A3
385|479|ATP12A
386|480|ATP1A4
387|481|ATP1B1
388|482|ATP1B2
389|483|ATP1B3
390|484|ATP1B3P1
391|485|ATP1B1P1
392|486|FXYD2
393|487|ATP2A1
394|488|ATP2A2
395|489|ATP2A3
396|490|ATP2B1
397|491|ATP2B2
398|492|ATP2B3
399|493|ATP2B4
400|495|ATP4A
401|496|ATP4B
402|498|ATP5F1A
403|501|ALDH7A1
404|504|ATP5F1AP2
405|506|ATP5F1B
406|507|ATP5F1BP1
407|509|ATP5F1C
408|513|ATP5F1D
409|514|ATP5F1E
410|515|ATP5PB
411|516|ATP5MC1
412|517|ATP5MC2
413|518|ATP5MC3
414|520|ATP5MC2P1
415|521|ATP5ME
416|522|ATP5PF
417|523|ATP6V1A
418|525|ATP6V1B1
419|526|ATP6V1B2
420|527|ATP6V0C
421|528|ATP6V1C1
422|529|ATP6V1E1
423|533|ATP6V0B
424|534|ATP6V1G2
425|535|ATP6V0A1
426|537|ATP6AP1
427|538|ATP7A
428|539|ATP5PO
429|540|ATP7B
430|541|ALDH7A1P1
431|542|ALDH7A1P2
432|543|ALDH7A1P3
433|544|ALDH7A1P4
434|545|ATR
435|546|ATRX
436|547|KIF1A
437|549|AUH
438|550|AUP1
439|551|AVP
440|552|AVPR1A
441|553|AVPR1B
442|554|AVPR2
443|558|AXL
444|563|AZGP1
445|566|AZU1
446|567|B2M
447|568|B2MR
448|570|BAAT
449|571|BACH1
450|572|BAD
451|573|BAG1
452|574|BAGE
453|575|ADGRB1
454|576|ADGRB2
455|577|ADGRB3
456|578|BAK1
457|579|NKX3-2
458|580|BARD1
459|581|BAX
460|582|BBS1
461|583|BBS2
462|585|BBS4
463|586|BCAT1
464|587|BCAT2
465|590|BCHE
466|593|BCKDHA
467|594|BCKDHB
468|595|CCND1
469|596|BCL2
470|597|BCL2A1
471|598|BCL2L1
472|599|BCL2L2
473|600|BAK1P1
474|601|BAK1P2
475|602|BCL3
476|604|BCL6
477|605|BCL7A
478|606|NBEAP1
479|607|BCL9
480|608|TNFRSF17
481|610|HCN2
482|611|OPN1SW
483|613|BCR
484|616|BCRP4
485|617|BCS1L
486|618|BCYRN1
