id|name|gene_id
1|FWP007|2
2|S863-7|2
3|CPAMD5|2
4|A2MP|3
5|AAC1|4
6|AAC2|5
7|AACP|6
8|NATP1|6
9|AACT|7
10|DAC|8
11|CES5A1|8
12|SNAT|10
13|AARS|11
14|CMT2N|11
15|AlaRS|11
16|AAV|12
17|GABAT|13
18|GABA-T|13
19|ABC1|14
20|HDLDT1|14
21|TGD|14
22|ABC2|15
23|ABC3|16
24|ABC-C|16
25|EST111653|16
26|LBM180|16
27|ABC7|17
28|EST140535|17
29|Atm1p|17
30|ASAT|17
31|ABC50|18
32|EST123147|18
33|STGD1|19
34|ABCR|19
35|RP19|19
36|STGD|19
37|FFM|19
38|ARMD2|19
39|CORD3|19
40|ABL|20
41|JTK7|20
42|c-ABL|20
43|ABP1|21
44|ABP|21
45|ABLL|22
46|A3GALT1|23
47|MDB|24
48|Lnc-Myd88|25
49|ACAC|26
50|ACC|26
51|ACC1|26
52|ACC-alpha|26
53|ACCA|26
54|ACCalpha|26
55|ACACalpha|26
56|Acac1|26
57|hACC1|26
58|HACC275|27
59|ACCB|27
60|ACC-beta|27
61|ACCbeta|27
62|ACACbeta|27
63|LCAD|28
64|ACAD4|28
65|MCAD|29
66|MCADH|29
67|ACAD1|29
68|SCAD|30
69|ACAD3|30
70|SBCAD|31
71|ACAD7|31
72|VLCAD|32
73|LCACD|32
74|ACAD6|32
75|ACAT|33
76|THIL|33
77|ACCN|35
78|ACCN1|35
79|ASIC2a|35
80|BNaC1|35
81|hBNaC1|35
82|MDEG|35
83|ACCN2|36
84|BNaC2|36
85|hBNaC2|36
86|YT|37
87|ATPCL|38
88|CLATP|38
89|ACL|38
90|IREB1|39
91|IRP1|39
92|IREBP|39
93|ACONM|41
94|PALMCOX|42
95|HAAP|43
96|LMW-PTP|43
97|LMWPTP|43
98|HPAP|45
99|TRAcP|45
100|ACPP|46
101|ACP-3|46
102|TM-PAP|46
103|SPACA2|47
104|SP-10|47
105|D11S4365|47
106|ACTA|48
107|NEM3|48
108|ACTSA|49
109|ACTC|58
110|CMD1R|58
111|ACTG|59
112|DFNA20|59
113|DFNA26|59
114|ACTL3|60
115|ACTA3|60
116|ACTSG|60
117|ACTGP1|61
118|ACT1GP1|61
119|ACTL2|62
120|ACTGP2|62
121|ACTGP3|63
122|ACTGP6|64
123|ACTGP7|65
124|ACTGP8|66
125|FSGS1|67
126|ACTGP9|68
127|ACTL1|69
128|ACTGP10|69
129|Actl6|70
130|BAF53A|70
131|Arp4|70
132|Baf53a|70
133|INO80K|70
134|SMARCN1|70
135|ACVRLK2|74
136|SKR1|74
137|ALK2|74
138|ACVR1A|74
139|ACVRLK4|75
140|ALK4|75
141|SKR2|75
142|ActRIB|75
143|ACVR2|76
144|ACTRII|76
145|ActR-IIB|77
146|ACVRLK1|78
147|ORW2|78
148|HHT2|78
149|HHT|78
150|CD156|83
151|MS2|83
152|CD156A|83
153|kuz|84
154|HsT18717|84
155|CD156C|84
156|IFI4|85
157|G1P1|85
158|ADAR1|85
159|DRADA|85
160|ADAR2|86
161|DRADA2|86
162|ADAR2g|86
163|DRABA2|86
164|RED1|86
165|hRED1|86
166|ADAR2a-L1|86
167|ADAR2a-L2|86
168|ADAR2d|86
169|ADAR2c|86
170|ADAR2a-L3|86
171|ADAR2a|86
172|ADAR2b|86
173|RED2|87
174|hRED2|87
175|ADAR3|87
176|DFNB44|89
177|AC1|89
178|HBAC2|90
179|KIAA1060|90
180|AC2|90
181|AC3|91
182|AC5|92
183|AC6|93
184|KIAA0037|94
185|AC7|94
186|HBAC1|95
187|AC8|95
188|AC9|96
189|PACAPR|98
190|PAC1R|98
191|ADDB|100
192|ADDL|101
193|ADFP|102
194|ADRP|102
195|ADH1|103
196|ADH2|104
197|ADH3|105
198|ADH-2|106
199|FDH|107
200|ADH-3|107
201|ADHX|107
202|GSNOR|107
203|ADH-5|108
204|ADH-4|109
205|AK|110
206|AM|111
207|RDC7|112
208|ADORA2|113
209|RDC8|113
210|ADORA2BP|115
211|AD026|116
212|A3AR|116
213|ARH1|117
214|PPOL|118
215|ADPRT|118
216|PARP|118
217|ARTD1|118
218|Poly-PARP|118
219|ADPRTL1|119
220|VAULT3|119
221|p193|119
222|VPARP|119
223|VWA5C|119
224|ARTD4|119
225|PPOLP1|120
226|ADPRTP1|120
227|PPOLP2|121
228|ADPRTP2|121
229|ADRA1R|122
230|ADRA1|122
231|ADRA1C|124
232|ADRA1L1|124
233|ADRA2|125
234|ADRA2R|125
235|ADRAR|125
236|ADRA2L1|126
237|ADRA2RL1|126
238|ADRARL1|126
239|ADRA2L2|127
240|ADRA2RL2|127
241|ADRARL2|127
242|ADRB1R|128
243|ADRB2R|129
244|ADRBR|129
245|B2AR|129
246|ADRBK1|131
247|BARK1|131
248|ADRBK2|132
249|BARK2|132
250|ADSS|134
251|CLAPA1|135
252|ADTAA|135
253|CLAPA2|136
254|ADTAB|136
255|DKFZP564D1864|136
256|HYPJ|136
257|KIAA0899|136
258|HIP9|136
259|ADTB1|137
260|CLAPB2|137
261|BAM22|137
262|AP105A|137
263|ADTB2|138
264|CLAPB1|138
265|CLAPG1|139
266|ADTG|139
267|ACLP|140
268|AES|141
269|GRG5|141
270|AEGL1|142
271|CRISP-1|142
272|HUMARP|142
273|HSCRISP1D|142
274|HSCRISP1G|142
275|AFG3|143
276|AFG3L1|143
277|ALB2|144
278|ALBA|144
279|HPAFP|145
280|FETA|145
281|ASRG|146
282|MSK16|147
283|CSPG1|147
284|AGC1|147
285|CSPGCP|147
286|SCARJ1|148
287|sRAGE|148
288|GDE|149
289|Agrt|150
290|ART|150
291|ASIP2|150
292|AGS|151
293|JAGL1|151
294|AHD|151
295|AWS|151
296|HJ1|151
297|CD339|151
298|SERPINA8|152
299|AGTR1B|153
300|AT2R1|153
301|AGTR1A|153
302|AT2R1A|153
303|HAT1R|153
304|AG2S|153
305|AT2R1B|153
306|AT1B|153
307|ATR1|153
308|AT2|154
309|MRX88|154
310|AGTRL1|155
311|FLJ90771|155
312|APJ|155
313|APJR|155
314|SPAT|156
315|AGXT1|156
316|PH1|156
317|SPT|156
318|AGT1|156
319|TLH6|156
320|Ser-PyrAT|156
321|AHC|157
322|DSS|157
323|DAX1|157
324|AHCH|157
325|SAHH|158
326|AdoHcyase|158
327|bHLHe76|159
328|FETUA|160
329|A2HS|160
330|HSGA|160
331|IRT-1|161
332|AIF-1|161
333|Em:AF129756.17|161
334|IBA1|161
335|ST4|162
336|AIM1|162
337|AK3L1|165
338|AK3P1|166
339|RAC|167
340|PKB|167
341|PRKBA|167
342|AKT|167
343|RAC-alpha|167
344|PKBβ|168
345|ALADH|169
346|PBGS|169
347|ALAS3|170
348|ALAS|170
349|ALAS-H|170
350|ASB|171
351|ALAS-E|171
352|CD166|173
353|MEMD|173
