id;type;level;description;html_description;color
1;TX;LEVEL_1;FDA-recognized biomarker predictive of response to an FDA-approved drug in this indication;<span><b>FDA-recognized</b> biomarker predictive of response to an <b>FDA-approved</b> drug <b>in this indication</b></span>;#33A02C
2;TX;LEVEL_2;Standard care biomarker recommended by the NCCN or other expert panels predictive of response to an FDA-approved drug in this indication;<span><b>Standard care</b> biomarker recommended by the NCCN or other expert panels predictive of response to an <b>FDA-approved drug</b> in this indication</span>;#1F78B4
3;TX;LEVEL_3A;Compelling clinical evidence supports the biomarker as being predictive of response to a drug in this indication;<span><b>Compelling clinical evidence</b> supports the biomarker as being predictive of response to a drug <b>in this indication</b> but neither biomarker and drug are standard of care</span>;#984EA3
4;TX;LEVEL_3B;Standard care or investigational biomarker predictive of response to an FDA-approved or investigational drug in another indication;<span><b>Standard care</b> or <b>investigational</b> biomarker predictive of response to an <b>FDA-approved</b> or <b>investigational</b> drug in another indication</span>;#BE98CE
5;TX;LEVEL_4;Compelling biological evidence supports the biomarker as being predictive of response to a drug;<span><b>Compelling biological evidence</b> supports the biomarker as being predictive of response to a drug but neither biomarker and drug are standard of care</span>;#424242
6;TX;LEVEL_R1;Standard care biomarker predictive of resistance to an FDA-approved drug in this indication;<span><b>Standard of care</b> biomarker predictive of <b>resistance</b> to an <b>FDA-approved</b> drug <b>in this indication</b></span>;#EE3424
7;TX;LEVEL_R2;Compelling clinical evidence supports the biomarker as being predictive of resistance to a drug;<span><b>Compelling clinical evidence</b> supports the biomarker as being predictive of <b>resistance</b> to a drug</span>;#F79A92
8;DX;LEVEL_Dx1;FDA and/or professional guideline-recognized biomarker required for diagnosis in this indication;<span><b>FDA and/or professional guideline-recognized</b> biomarker required for diagnosis in this indication</span>;#33A02C
9;DX;LEVEL_Dx2;FDA and/or professional guideline-recognized biomarker that supports diagnosis in this indication;<span><b>FDA and/or professional guideline-recognized</b> biomarker that supports diagnosis in this indication</span>;#1F78B4
10;DX;LEVEL_Dx3;Biomarker that may assist disease diagnosis in this indication based on clinical evidence;<span>Biomarker that <b>may assist disease diagnosis</b> in this indication based on <b>clinical evidence</b></span>;#984EA3
11;PX;LEVEL_Px1;FDA and/or professional guideline-recognized biomarker prognostic in this indication based on well-powered studie(s);<span><b>FDA and/or professional guideline-recognized</b> biomarker prognostic in this indication based on <b>well-powered studie(s)</b></span>;#33A02C
12;PX;LEVEL_Px2;FDA and/or professional guideline-recognized biomarker prognostic in this indication based on a single or multiple small studies;<span><b>FDA and/or professional guideline-recognized</b> biomarker prognostic in this indication based on <b>a single or multiple small studies</b></span>;#1F78B4
13;PX;LEVEL_Px3;Biomarker is prognostic in this indication based on clinical evidence in well-powered studies;<span>Biomarker is prognostic in this indication based on <b>clinical evidence</b> in <b>well-powered studies</b></span>;#984EA3
14;FDA;LEVEL_Fda1;Companion Diagnostics;Companion Diagnostics;
15;FDA;LEVEL_Fda2;Cancer Mutations with Evidence of Clinical Significance;Cancer Mutations with Evidence of Clinical Significance;
16;FDA;LEVEL_Fda3;Cancer Mutations with Potential of Clinical Significance;Cancer Mutations with Potential of Clinical Significance;
