GENE_FLAG	ENTERZ_GENE_ID	HUGO_SYMBOL
CGC_T1	25	ABL1
CGC_T1	27	ABL2
CGC_T1	90	ACVR1
CGC_T1	91	ACVR1B
CGC_T1	92	ACVR2A
CGC_T1	207	AKT1
CGC_T1	208	AKT2
CGC_T1	238	ALK
CGC_T1	324	APC
CGC_T1	330	BIRC3
CGC_T1	355	FAS
CGC_T1	367	AR
CGC_T1	387	RHOA
CGC_T1	399	RHOH
CGC_T1	405	ARNT
CGC_T1	463	ZFHX3
CGC_T1	466	ATF1
CGC_T1	471	ATIC
CGC_T1	472	ATM
CGC_T1	476	ATP1A1
CGC_T1	492	ATP2B3
CGC_T1	545	ATR
CGC_T1	546	ATRX
CGC_T1	567	B2M
CGC_T1	580	BARD1
CGC_T1	581	BAX
CGC_T1	595	CCND1
CGC_T1	596	BCL2
CGC_T1	602	BCL3
CGC_T1	604	BCL6
CGC_T1	605	BCL7A
CGC_T1	607	BCL9
CGC_T1	608	TNFRSF17
CGC_T1	613	BCR
CGC_T1	639	PRDM1
CGC_T1	641	BLM
CGC_T1	657	BMPR1A
CGC_T1	668	FOXL2
CGC_T1	672	BRCA1
CGC_T1	673	BRAF
CGC_T1	675	BRCA2
CGC_T1	694	BTG1
CGC_T1	695	BTK
CGC_T1	701	BUB1B
CGC_T1	776	CACNA1D
CGC_T1	811	CALR
CGC_T1	833	CARS
CGC_T1	841	CASP8
CGC_T1	861	RUNX1
CGC_T1	862	RUNX1T1
CGC_T1	863	CBFA2T3
CGC_T1	865	CBFB
CGC_T1	867	CBL
CGC_T1	868	CBLB
CGC_T1	894	CCND2
CGC_T1	896	CCND3
CGC_T1	898	CCNE1
CGC_T1	972	CD74
CGC_T1	973	CD79A
CGC_T1	974	CD79B
CGC_T1	999	CDH1
CGC_T1	1009	CDH11
CGC_T1	1019	CDK4
CGC_T1	1021	CDK6
CGC_T1	1027	CDKN1B
CGC_T1	1029	CDKN2A
CGC_T1	1031	CDKN2C
CGC_T1	1045	CDX2
CGC_T1	1050	CEBPA
CGC_T1	1108	CHD4
CGC_T1	1213	CLTC
CGC_T1	1277	COL1A1
CGC_T1	1280	COL2A1
CGC_T1	1316	KLF6
CGC_T1	1385	CREB1
CGC_T1	1387	CREBBP
CGC_T1	1441	CSF3R
CGC_T1	1499	CTNNB1
CGC_T1	1523	CUX1
CGC_T1	1540	CYLD
CGC_T1	1616	DAXX
CGC_T1	1639	DCTN1
CGC_T1	1643	DDB2
CGC_T1	1649	DDIT3
CGC_T1	1654	DDX3X
CGC_T1	1655	DDX5
CGC_T1	1656	DDX6
CGC_T1	1662	DDX10
CGC_T1	1785	DNM2
CGC_T1	1788	DNMT3A
CGC_T1	1879	EBF1
CGC_T1	1956	EGFR
CGC_T1	1974	EIF4A2
CGC_T1	2000	ELF4
CGC_T1	2005	ELK4
CGC_T1	2033	EP300
CGC_T1	2034	EPAS1
CGC_T1	2060	EPS15
CGC_T1	2064	ERBB2
CGC_T1	2065	ERBB3
CGC_T1	2066	ERBB4
CGC_T1	2068	ERCC2
CGC_T1	2071	ERCC3
CGC_T1	2072	ERCC4
CGC_T1	2073	ERCC5
CGC_T1	2078	ERG
CGC_T1	2099	ESR1
CGC_T1	2115	ETV1
CGC_T1	2118	ETV4
CGC_T1	2119	ETV5
CGC_T1	2120	ETV6
CGC_T1	2122	MECOM
CGC_T1	2130	EWSR1
CGC_T1	2131	EXT1
CGC_T1	2132	EXT2
CGC_T1	2146	EZH2
CGC_T1	2175	FANCA
CGC_T1	2176	FANCC
CGC_T1	2177	FANCD2
CGC_T1	2178	FANCE
CGC_T1	2181	ACSL3
CGC_T1	2188	FANCF
CGC_T1	2189	FANCG
CGC_T1	2195	FAT1
CGC_T1	2213	FCGR2B
CGC_T1	2242	FES
CGC_T1	2260	FGFR1
CGC_T1	2261	FGFR3
CGC_T1	2263	FGFR2
CGC_T1	2264	FGFR4
CGC_T1	2271	FH
CGC_T1	2272	FHIT
CGC_T1	2308	FOXO1
CGC_T1	2309	FOXO3
CGC_T1	2313	FLI1
CGC_T1	2322	FLT3
CGC_T1	2324	FLT4
CGC_T1	2475	MTOR
CGC_T1	2521	FUS
CGC_T1	2531	KDSR
CGC_T1	2623	GATA1
CGC_T1	2624	GATA2
CGC_T1	2625	GATA3
CGC_T1	2719	GPC3
CGC_T1	2767	GNA11
CGC_T1	2776	GNAQ
CGC_T1	2778	GNAS
CGC_T1	2903	GRIN2A
CGC_T1	2909	ARHGAP35
CGC_T1	2956	MSH6
CGC_T1	3020	H3F3A
CGC_T1	3021	H3F3B
CGC_T1	3084	NRG1
CGC_T1	3091	HIF1A
CGC_T1	3092	HIP1
CGC_T1	3105	HLA-A
CGC_T1	3131	HLF
CGC_T1	3159	HMGA1
CGC_T1	3169	FOXA1
CGC_T1	3181	HNRNPA2B1
CGC_T1	3195	TLX1
CGC_T1	3205	HOXA9
CGC_T1	3207	HOXA11
CGC_T1	3209	HOXA13
CGC_T1	3227	HOXC11
CGC_T1	3229	HOXC13
CGC_T1	3237	HOXD11
CGC_T1	3239	HOXD13
CGC_T1	3265	HRAS
CGC_T1	3320	HSP90AA1
CGC_T1	3326	HSP90AB1
CGC_T1	3337	DNAJB1
CGC_T1	3417	IDH1
CGC_T1	3418	IDH2
CGC_T1	3492	IGH
CGC_T1	3535	IGL
CGC_T1	3551	IKBKB
CGC_T1	3558	IL2
CGC_T1	3572	IL6ST
CGC_T1	3575	IL7R
CGC_T1	3646	EIF3E
CGC_T1	3662	IRF4
CGC_T1	3702	ITK
CGC_T1	3716	JAK1
CGC_T1	3717	JAK2
CGC_T1	3718	JAK3
CGC_T1	3725	JUN
CGC_T1	3762	KCNJ5
CGC_T1	3791	KDR
CGC_T1	3799	KIF5B
CGC_T1	3815	KIT
CGC_T1	3817	KLK2
CGC_T1	3845	KRAS
CGC_T1	3895	KTN1
CGC_T1	3899	AFF3
CGC_T1	3927	LASP1
CGC_T1	3932	LCK
CGC_T1	3977	LIFR
CGC_T1	4000	LMNA
CGC_T1	4004	LMO1
CGC_T1	4005	LMO2
CGC_T1	4026	LPP
CGC_T1	4066	LYL1
CGC_T1	4087	SMAD2
CGC_T1	4088	SMAD3
CGC_T1	4089	SMAD4
CGC_T1	4094	MAF
