patch	chromosome
GL000194.1
GL000209.1
GL000220.1
GL000237.1
HG1_PATCH	14
HG1007_PATCH	2
HG1012_PATCH	9
HG1032_PATCH	4
HG104_HG975_PATCH	8
HG1063_PATCH	5
HG107_PATCH	11
HG1074_PATCH	10
HG1079_PATCH	19
HG1082_HG167_PATCH	5
HG109_PATCH	19
HG1091_PATCH	3
HG1133_PATCH	12
HG1146_PATCH	17
HG115_PATCH	7
HG1208_PATCH	16
HG1211_PATCH	10
HG122_PATCH	11
HG1257_PATCH	7
HG126_PATCH	3
HG1277_PATCH	10
HG1287_PATCH	1
HG1292_PATCH	1
HG1293_PATCH	1
HG1296_PATCH	4
HG1298_PATCH	4
HG1299_PATCH	4
HG1304_PATCH	6
HG1308_PATCH	7
HG1309_PATCH	7
HG1311_HG2539_PATCH	22
HG1311_PATCH	22
HG1320_PATCH	17
HG1322_PATCH	6
HG1342_HG2282_PATCH	1
HG1350_HG959_PATCH	19
HG1362_PATCH	12
HG1384_PATCH	2
HG1395_PATCH	5
HG1398_PATCH	12
HG14_PATCH	7
HG142_HG150_NOVEL_TEST	11
HG1423_PATCH	X
HG1424_PATCH	X
HG1425_PATCH	X
HG1426_PATCH	X
HG1433_PATCH	X
HG1434_PATCH	X
HG1435_PATCH	X
HG1436_HG1432_PATCH	X
HG1437_PATCH	X
HG1438_PATCH	X
HG1439_PATCH	X
HG144_PATCH	20
HG1440_PATCH	X
HG1441_PATCH	X
HG1442_PATCH	X
HG1443_HG1444_PATCH	X
HG1445_PATCH	11
HG1453_PATCH	X
HG1458_PATCH	X
HG1459_PATCH	X
HG1462_PATCH	X
HG1463_PATCH	X
HG1466_PATCH	X
HG1471_PATCH	1
HG1472_PATCH	1
HG1473_PATCH	1
HG1479_PATCH	10
HG1485_PATCH	22
HG1486_PATCH	22
HG1487_PATCH	22
HG1488_PATCH	22
HG1490_PATCH	X
HG1497_PATCH	X
HG1500_PATCH	9
HG1501_PATCH	9
HG1502_PATCH	9
HG1506_PATCH	X
HG1507_PATCH	X
HG1509_PATCH	X
HG151_NOVEL_TEST	11
HG1521_PATCH	11
HG1523_PATCH	13
HG1524_PATCH	13
HG1531_PATCH	Y
HG1535_PATCH	Y
HG1591_PATCH	17
HG1592_PATCH	14
HG1595_PATCH	12
HG1651_PATCH	6
HG1699_PATCH	8
HG1708_PATCH	11
HG174_HG254_PATCH	4
HG1815_PATCH	12
HG1817_1_PATCH	13
HG183_PATCH	17
HG1832_PATCH	1
HG185_PATCH	17
HG186_PATCH	3
HG19_PATCH	8
HG193_PATCH	6
HG2002_PATCH	1
HG2021_PATCH	19
HG2022_PATCH	3
HG2023_PATCH	4
HG2030_PATCH	9
HG2046_PATCH	17
HG2047_PATCH	12
HG2057_PATCH	6
HG2058_PATCH	1
HG2060_PATCH	11
HG2062_PATCH	Y
HG2063_PATCH	12
HG2066_PATCH	3
HG2067_PATCH	8
HG2068_PATCH	8
HG2072_PATCH	6
HG2087_PATCH	17
HG2088_PATCH	7
HG2095_PATCH	1
HG2104_PATCH	1
HG2111_PATCH	11
HG2114_PATCH	11
HG2115_PATCH	11
HG2116_PATCH	11
HG2121_PATCH	6
HG2128_PATCH	6
HG2133_PATCH	3
HG2191_PATCH	10
HG2198_PATCH	15
HG2213_PATCH	18
HG2216_PATCH	13
HG2217_PATCH	11
HG2232_PATCH	2
HG2233_PATCH	2
HG2235_PATCH	3
HG2236_PATCH	3
HG2237_PATCH	3
HG2239_PATCH	7
HG2241_PATCH	10
HG2242_HG2243_PATCH	10
HG2244_HG2245_PATCH	10
HG2246_HG2248_HG2276_PATCH	12
HG2247_PATCH	12
HG2249_PATCH	13
HG2263_PATCH	16
HG2266_PATCH	7
HG2285_HG106_HG2252_PATCH	17
HG2288_HG2289_PATCH	13
HG2290_PATCH	2
HG2291_PATCH	13
HG23_PATCH	12
HG2334_PATCH	10
HG2365_PATCH	15
HG237_PATCH	21
HG2412_PATCH	18
HG2419_PATCH	8
HG243_PATCH	8
HG2442_PATCH	18
HG2471_PATCH	16
HG2499_PATCH	15
HG2509_PATCH	13
HG2510_PATCH	14
HG2511_PATCH	15
HG2512_PATCH	22
HG2513_PATCH	21
HG2525_PATCH	4
HG256_PATCH	11
HG2568_PATCH	11
HG2569_PATCH
HG2576_PATCH
HG2577_PATCH	1
HG2578_PATCH	11
HG26_PATCH	19
HG27_PATCH	6
HG271_PATCH	17
HG28_PATCH	11
HG280_PATCH	3
HG281_PATCH	11
HG29_PATCH	X
HG299_PATCH	11
HG30_PATCH	5
HG305_PATCH	11
HG306_PATCH	11
HG311_PATCH	10
HG325_PATCH	3
HG329_PATCH	22
HG339_PATCH	10
HG344_PATCH	12
HG348_PATCH	11
HG357_PATCH	6
HG375_PATCH	X
HG385_PATCH	17
HG388_HG400_PATCH	11
HG401_PATCH	16
HG414_PATCH	11
HG417_PATCH	17
HG418_PATCH	8
HG439_PATCH	X
HG444_PATCH	7
HG460_PATCH	1
HG480_HG481_PATCH	X
HG494_PATCH	22
HG497_PATCH	22
HG50_PATCH	9
HG506_HG507_HG1000_PATCH	20
HG531_PATCH	13
HG536_PATCH	11
HG544_PATCH	10
HG545_PATCH	10
HG563_PATCH	6
HG613_PATCH	9
HG686_PATCH	2
HG699_PATCH	4
HG7_PATCH	7
HG705_PATCH	4
HG706_PATCH	4
HG708_PATCH	7
HG721_PATCH	2
HG729_PATCH	19
HG730_PATCH	19
HG736_PATCH	7
HG745_PATCH	17
HG747_PATCH	17
HG748_PATCH	17
HG75_PATCH	17
HG76_PATCH	8
HG79_PATCH	9
HG858_PATCH	12
HG865_PATCH	11
HG871_PATCH	10
HG873_PATCH	11
HG883_PATCH	17
HG905_PATCH	10
HG926_PATCH	16
HG944_PATCH	20
HG946_PATCH	7
HG953_PATCH	2
HG957_PATCH	3
HG962_PATCH	9
HG971_PATCH	15
HG979_PATCH	10
HG986_PATCH	1
HG987_PATCH	17
HG989_PATCH	1
HG990_PATCH	17
HG991_PATCH	3
HG995_PATCH	10
HG996_PATCH	12
HG998_1_PATCH	9
HG998_2_PATCH	9
HG999_1_PATCH	1
HG999_2_PATCH	1
HSCHR1_1_CTG31	1
HSCHR1_2_CTG3	1
HSCHR1_2_CTG31	1
HSCHR1_2_CTG32_1	1
HSCHR1_3_CTG3	1
HSCHR1_3_CTG31	1
HSCHR1_4_CTG3	1
HSCHR1_5_CTG3	1
HSCHR1_5_CTG32_1	1
HSCHR1_6_CTG3	1
HSCHR1_8_CTG3	1
HSCHR1_9_CTG3	1
HSCHR10_1_CTG2	10
HSCHR10_1_CTG5	10
HSCHR10_1_CTG6	10
HSCHR11_1_CTG1_1	11
